region, nature, prix, date
Jardins de Cart,Location,3 000,16/08/2017
Hammamet,Location vacance,3 500,16/08/2017
Cite El Khadra,Vente,500 000,16/08/2017
Ain Zaghouan,Location,1 500,16/08/2017
Hammamet,Location vacance,150,16/08/2017
La Soukra,Vente,1 000 000,16/08/2017
Beni Khalled,Terrain,24 000,16/08/2017
El Aouabed,Vente,150 000,16/08/2017
Monastir,Vente,170 000,16/08/2017
Jardins de Cart,Location,900,16/08/2017
Cartage Byrsa,Vente,220 000,16/08/2017
Hedi Chaker,Terrain,2 608 000,16/08/2017
Jardins de Cart,Location,1 500,16/08/2017
Monastir,Vente,252 000,16/08/2017
Zone Hoteliere,Location,160,16/08/2017
Hammamet,Location vacance,200,16/08/2017
Rades,Location,1 000,16/08/2017
La Soukra,Vente,230 000,16/08/2017
Cite Ennacim,Terrain,32 000,16/08/2017
Ain Zaghouan,Vente,575 000,16/08/2017
Cite Rades 2,Location,900,16/08/2017
Sidi Bousaid,Location,1 500,16/08/2017
Hammamet,Location vacance,300,16/08/2017
Le Kram,Location,700,16/08/2017
Carthage,Location,1 800,16/08/2017
